channelId,title,publishedAt,channelTitle,categoryId,defaultLanguage,defaultAudioLanguage,viewCount,likeCount,favoriteCount,commentCount
UC_oToDrJ6uca7d1dFVBmLtg,AL-TAI X AL-ITTIHAD | LIGA SAUDITA | JOGO COMPLETO,2024-02-07T20:11:15Z,Canal GOAT,17,pt-BR,pt,179806,5945,0,3
UCZ7doeBcNloN5tJySQtcQCQ,[전지적 할부지 시점] ep.177 새해 푸(福) 많이 받으세오~함께하는 하루하루가 더없이 소중한 용인 푸씨 푸바오와 강바오🐼│Panda World,2024-02-09T08:02:00Z,말하는동물원 뿌빠TV,15,,ko,68640,9945,0,584
UCIpylxq_JDl2YpvTpN11p9Q,MUDOU TUDO! FLAMENGO SONDA IGOR CORONADO! CHEGA NO LIMITE DUAS NEGOCIAÇÕES NO MENGÃO! MUDANÇA TIME,2024-02-07T12:24:40Z,FLAZOEIRO,17,,pt,177842,26480,0,599
UCk7PLqymO8AziWRbBu8jeOA,Jogos olímpicos de BEBÊS #livedobrino #humor,2024-02-04T19:15:23Z,BruninZor,24,,,1188760,169366,0,441
UCw5-xj3AKqEizC7MvHaIPqA,"ENZO FERNÁNDEZ FAZ PINTURA DE FALTA, CHELSEA BATE O ASTON VILLA E VAI ÀS OITAVAS | Melhores Momentos",2024-02-07T22:12:17Z,ESPN Brasil,17,pt-BR,pt-BR,486669,24780,0,954
UC_oToDrJ6uca7d1dFVBmLtg,AL-TAI X AL-ITTIHAD | LIGA SAUDITA | JOGO COMPLETO,2024-02-07T20:11:15Z,Canal GOAT,17,pt-BR,pt,179806,5945,0,3
UCIpylxq_JDl2YpvTpN11p9Q,MUDOU TUDO! FLAMENGO SONDA IGOR CORONADO! CHEGA NO LIMITE DUAS NEGOCIAÇÕES NO MENGÃO! MUDANÇA TIME,2024-02-07T12:24:40Z,FLAZOEIRO,17,,pt,177842,26480,0,599
UCk7PLqymO8AziWRbBu8jeOA,Jogos olímpicos de BEBÊS #livedobrino #humor,2024-02-04T19:15:23Z,BruninZor,24,,,1188760,169366,0,441
UCS4cwdpm92dw1w9TERgdQJg,ele INVENTOU a CALCULADORA com 19 ANOS,2024-02-07T15:00:26Z,Tinocando TV,27,pt,pt,442205,84136,0,647
UCk7PLqymO8AziWRbBu8jeOA,100 comprimidos por dia para rejuvenescer! 😱🤣 #livedobrino #humor,2024-02-08T14:10:56Z,BruninZor,24,,,263609,42884,0,130
UCWijW6tW0iI5ghsAbWDFtTg,Reinaldo: Cabeças coroadas da reserva e da ativa mentidos com maquinações golpistas,2024-02-09T00:48:52Z,Rádio BandNews FM,25,,,51024,8530,0,
UCzY4IvYwOgA4viaDdVNyfZQ,DESDOBRAMENTOS 08/02/2024,2024-02-08T18:01:28Z,PASTOR SANDRO ROCHA,22,,en-US,228736,51598,0,
UCh4beckG3kngmza18rt-F4g,O QUE EU ACHO QUE PROFESSOR PENSA:,2024-02-08T21:00:05Z,Keira Riff,23,,pt,214638,31469,0,101
UCoT5dhgnkslu0cj8uZjt20A,BABÁ POR UM DIA #shots,2024-02-07T18:37:58Z,RETARDA MARQUES,22,,,564874,81047,0,212
